time,open,high,low,close
2020-01-03T18:45:00.000000000Z,1.11686,1.11691,1.11674,1.11678
2020-01-03T18:46:00.000000000Z,1.11681,1.11683,1.11676,1.11678
2020-01-03T18:47:00.000000000Z,1.11680,1.11682,1.11678,1.11682
2020-01-03T18:48:00.000000000Z,1.11680,1.11680,1.11672,1.11674
2020-01-03T18:49:00.000000000Z,1.11676,1.11684,1.11676,1.11676
2020-01-03T18:50:00.000000000Z,1.11674,1.11676,1.11671,1.11676
2020-01-03T18:51:00.000000000Z,1.11678,1.11682,1.11678,1.11678
2020-01-03T18:52:00.000000000Z,1.11681,1.11681,1.11673,1.11673
2020-01-03T18:53:00.000000000Z,1.11675,1.11678,1.11675,1.11675
2020-01-03T18:54:00.000000000Z,1.11678,1.11692,1.11678,1.11682
2020-01-03T18:55:00.000000000Z,1.11685,1.11687,1.11682,1.11682
2020-01-03T18:56:00.000000000Z,1.11680,1.11683,1.11680,1.11680
2020-01-03T18:57:00.000000000Z,1.11678,1.11678,1.11678,1.11678
2020-01-03T18:58:00.000000000Z,1.11676,1.11676,1.11666,1.11666
2020-01-03T18:59:00.000000000Z,1.11668,1.11672,1.11660,1.11670
2020-01-03T19:00:00.000000000Z,1.11668,1.11674,1.11660,1.11660
2020-01-03T19:01:00.000000000Z,1.11663,1.11680,1.11662,1.11662
2020-01-03T19:02:00.000000000Z,1.11659,1.11666,1.11648,1.11666
2020-01-03T19:03:00.000000000Z,1.11664,1.11672,1.11652,1.11672
2020-01-03T19:04:00.000000000Z,1.11670,1.11672,1.11648,1.11650
2020-01-03T19:05:00.000000000Z,1.11652,1.11664,1.11652,1.11661
2020-01-03T19:06:00.000000000Z,1.11658,1.11661,1.11652,1.11661
2020-01-03T19:07:00.000000000Z,1.11659,1.11661,1.11642,1.11642
2020-01-03T19:08:00.000000000Z,1.11644,1.11651,1.11643,1.11648
2020-01-03T19:09:00.000000000Z,1.11646,1.11646,1.11642,1.11642
2020-01-03T19:10:00.000000000Z,1.11644,1.11653,1.11644,1.11650
2020-01-03T19:11:00.000000000Z,1.11648,1.11649,1.11642,1.11646
2020-01-03T19:12:00.000000000Z,1.11644,1.11655,1.11642,1.11655
2020-01-03T19:13:00.000000000Z,1.11653,1.11656,1.11650,1.11655
2020-01-03T19:14:00.000000000Z,1.11658,1.11667,1.11655,1.11667
2020-01-03T19:15:00.000000000Z,1.11665,1.11665,1.11656,1.11656
2020-01-03T19:16:00.000000000Z,1.11654,1.11657,1.11650,1.11654
2020-01-03T19:17:00.000000000Z,1.11656,1.11658,1.11654,1.11658
2020-01-03T19:18:00.000000000Z,1.11656,1.11656,1.11642,1.11644
2020-01-03T19:19:00.000000000Z,1.11646,1.11649,1.11644,1.11646
2020-01-03T19:20:00.000000000Z,1.11644,1.11644,1.11636,1.11639
2020-01-03T19:21:00.000000000Z,1.11636,1.11636,1.11619,1.11619
2020-01-03T19:22:00.000000000Z,1.11616,1.11634,1.11614,1.11628
2020-01-03T19:23:00.000000000Z,1.11631,1.11636,1.11631,1.11636
2020-01-03T19:24:00.000000000Z,1.11639,1.11639,1.11634,1.11634
2020-01-03T19:25:00.000000000Z,1.11632,1.11634,1.11622,1.11622
2020-01-03T19:26:00.000000000Z,1.11625,1.11632,1.11625,1.11632
2020-01-03T19:27:00.000000000Z,1.11630,1.11638,1.11628,1.11638
2020-01-03T19:28:00.000000000Z,1.11636,1.11636,1.11634,1.11634
2020-01-03T19:29:00.000000000Z,1.11636,1.11639,1.11630,1.11630
2020-01-03T19:30:00.000000000Z,1.11632,1.11632,1.11630,1.11630
2020-01-03T19:31:00.000000000Z,1.11627,1.11627,1.11624,1.11624
2020-01-03T19:32:00.000000000Z,1.11622,1.11622,1.11617,1.11619
2020-01-03T19:33:00.000000000Z,1.11622,1.11624,1.11619,1.11621
2020-01-03T19:34:00.000000000Z,1.11624,1.11628,1.11624,1.11628
2020-01-03T19:35:00.000000000Z,1.11631,1.11636,1.11631,1.11632
2020-01-03T19:36:00.000000000Z,1.11635,1.11635,1.11628,1.11628
2020-01-03T19:37:00.000000000Z,1.11630,1.11630,1.11628,1.11628
2020-01-03T19:38:00.000000000Z,1.11624,1.11630,1.11624,1.11630
2020-01-03T19:39:00.000000000Z,1.11627,1.11627,1.11620,1.11622
2020-01-03T19:40:00.000000000Z,1.11624,1.11634,1.11624,1.11632
2020-01-03T19:41:00.000000000Z,1.11634,1.11639,1.11632,1.11637
2020-01-03T19:42:00.000000000Z,1.11634,1.11637,1.11634,1.11634
2020-01-03T19:43:00.000000000Z,1.11632,1.11634,1.11622,1.11630
2020-01-03T19:44:00.000000000Z,1.11634,1.11634,1.11627,1.11627
2020-01-03T19:45:00.000000000Z,1.11630,1.11632,1.11626,1.11629
2020-01-03T19:46:00.000000000Z,1.11626,1.11636,1.11624,1.11634
2020-01-03T19:47:00.000000000Z,1.11631,1.11631,1.11628,1.11628
2020-01-03T19:48:00.000000000Z,1.11630,1.11630,1.11628,1.11628
2020-01-03T19:49:00.000000000Z,1.11631,1.11636,1.11631,1.11636
2020-01-03T19:50:00.000000000Z,1.11634,1.11636,1.11633,1.11633
2020-01-03T19:51:00.000000000Z,1.11635,1.11635,1.11635,1.11635
2020-01-03T19:52:00.000000000Z,1.11633,1.11633,1.11628,1.11631
2020-01-03T19:53:00.000000000Z,1.11628,1.11628,1.11626,1.11626
2020-01-03T19:54:00.000000000Z,1.11628,1.11646,1.11628,1.11646
2020-01-03T19:55:00.000000000Z,1.11644,1.11651,1.11644,1.11651
2020-01-03T19:56:00.000000000Z,1.11653,1.11658,1.11650,1.11658
2020-01-03T19:57:00.000000000Z,1.11655,1.11665,1.11655,1.11662
2020-01-03T19:58:00.000000000Z,1.11665,1.11676,1.11665,1.11676
2020-01-03T19:59:00.000000000Z,1.11678,1.11678,1.11673,1.11675
2020-01-03T20:00:00.000000000Z,1.11673,1.11673,1.11654,1.11654
2020-01-03T20:01:00.000000000Z,1.11652,1.11659,1.11652,1.11659
2020-01-03T20:02:00.000000000Z,1.11657,1.11659,1.11654,1.11659
2020-01-03T20:03:00.000000000Z,1.11657,1.11659,1.11649,1.11654
2020-01-03T20:04:00.000000000Z,1.11652,1.11654,1.11650,1.11654
2020-01-03T20:05:00.000000000Z,1.11652,1.11652,1.11650,1.11650
2020-01-03T20:06:00.000000000Z,1.11648,1.11655,1.11648,1.11655
2020-01-03T20:07:00.000000000Z,1.11652,1.11655,1.11652,1.11655
2020-01-03T20:08:00.000000000Z,1.11658,1.11658,1.11652,1.11652
2020-01-03T20:09:00.000000000Z,1.11655,1.11655,1.11652,1.11655
2020-01-03T20:10:00.000000000Z,1.11653,1.11653,1.11651,1.11651
2020-01-03T20:12:00.000000000Z,1.11648,1.11648,1.11639,1.11639
2020-01-03T20:13:00.000000000Z,1.11641,1.11641,1.11632,1.11632
2020-01-03T20:14:00.000000000Z,1.11634,1.11636,1.11634,1.11636
2020-01-03T20:15:00.000000000Z,1.11639,1.11640,1.11632,1.11640
2020-01-03T20:16:00.000000000Z,1.11636,1.11641,1.11636,1.11641
2020-01-03T20:17:00.000000000Z,1.11639,1.11641,1.11639,1.11639
2020-01-03T20:18:00.000000000Z,1.11642,1.11644,1.11639,1.11639
2020-01-03T20:19:00.000000000Z,1.11641,1.11641,1.11631,1.11631
2020-01-03T20:20:00.000000000Z,1.11628,1.11631,1.11624,1.11631
2020-01-03T20:21:00.000000000Z,1.11628,1.11628,1.11626,1.11628
2020-01-03T20:22:00.000000000Z,1.11626,1.11628,1.11626,1.11626
2020-01-03T20:23:00.000000000Z,1.11628,1.11628,1.11624,1.11628
2020-01-03T20:24:00.000000000Z,1.11630,1.11630,1.11626,1.11626
2020-01-03T20:25:00.000000000Z,1.11623,1.11626,1.11623,1.11623
2020-01-03T20:26:00.000000000Z,1.11626,1.11626,1.11626,1.11626
2020-01-03T20:27:00.000000000Z,1.11622,1.11625,1.11622,1.11625
2020-01-03T20:28:00.000000000Z,1.11622,1.11622,1.11618,1.11620
2020-01-03T20:29:00.000000000Z,1.11618,1.11620,1.11618,1.11618
